date,bond100,bond15,richmond,virginia,rate,gold
1862-1-15,12.71,,,,8.00,
1862-2-15,12.71,14.65,9.90,11.04,8.050,1.500
1862-3-15,,15.25,9.77,10.61,,
1862-4-15,14.09,18.00,10.72,11.52,8.276,1.775
1862-5-15,15.40,,10.87,11.39,8.150,1.800
1862-6-15,17.02,,11.31,11.80,8.819,1.875
1862-7-15,16.43,18.86,10.82,,8.156,1.875
1862-8-15,17.22,,,12.93,7.999,2.050
1862-9-15,17.23,,11.51,12.93,7.998,2.050
1862-10-15,18.43,22.14,12.37,13.76,7.998,2.200
1862-11-15,26.92,30.35,16.64,20.19,7.998,3.300
1862-12-15,25.78,28.91,15.54,17.57,7.999,3.125
1863-1-15,23.90,27.15,14.53,16.40,7.999,2.900
1863-2-15,25.96,29.67,,18.28,7.895,3.200
1863-3-15,38.01,40.56,22.24,26.98,7.998,4.750
1863-4-15,36.52,30.69,,26.89,7.017,5.000
1863-5-15,39.71,29.36,23.62,27.54,7.392,5.250
1863-6-15,54.35,37.10,32.29,33.39,7.344,7.250
1863-7-15,57.50,39.83,34.49,34.49,7.246,7.750
1863-8-15,80.01,54.11,31.74,32.24,6.917,11.250
1863-9-15,83.14,57.17,28.71,37.92,7.338,11.250
1863-10-15,79.40,55.06,28.38,32.79,6.866,11.250
1863-11-15,116.49,71.28,40.65,38.93,6.819,16.710
1863-12-15,140.31,88.96,46.45,51.13,6.291,21.000
1864-1-15,140.06,98.72,,51.44,6.372,20.875
1864-2-15,138.91,109.23,53.17,53.19,5.673,22.500
1864-3-15,147.15,123.70,56.87,74.74,6.626,22.000
1864-4-15,145.49,,,75.26,6.990,21.000
1864-5-15,,,,,,
1864-6-15,,,,,7.395,
1864-7-15,114.41,,,,6.262,17.000
1864-8-15,128.82,,,,6.522,19.000
1864-9-15,152.20,129.46,56.05,65.25,5.677,24.875
1864-10-15,159.11,,,,5.665,26.375
1864-11-15,174.97,164.07,56.78,68.65,6.072,27.875
1864-12-15,218.68,209.12,73.15,68.97,5.899,34.625
