"military","number","time_period","event_name","north","question","catton","pratt","guinnane","start_date","end_date"
1,1,"April 6-7, 1862","Shiloh",1,0,1,1,0,"1862-4-6","1862-4-7"
1,2,"Late April 1862","Fall of New Orleans",1,0,1,1,0,"1862-4-25","1862-5-1"
1,3,"Late June-early July 1862","Seven Days Battle",0,0,1,0,0,"1862-6-25","1862-7-1"
1,4,"August 30, 1862","Bull Run",0,0,1,1,0,"1862-8-30","1862-8-30"
1,5,"September 17-19, 1862","Antietam",1,0,1,1,0,"1862-9-17","1862-9-19"
1,6,"December 13, 1862","Fredericksburg",0,0,1,1,0,"1862-12-13","1862-12-13"
1,7,"Dec 31-Jan 2, 1863","Stone River",0,0,0,1,0,"1862-12-31","1863-1-2"
1,8,"May 2, 1863","Chancellorsville",0,0,1,1,0,"1863-5-2","1863-5-2"
1,9,"July 1-3, 1863","Gettysburg",1,0,1,1,0,"1863-7-1","1863-7-3"
1,10,"July 4, 1863","Vicksburg falls",1,0,1,1,0,"1863-7-4","1863-7-4"
1,11,"September 19-20, 1863","Chickamagua",0,1,1,1,0,"1863-9-19","1863-9-20"
1,12,"November 25, 1863","Chattanooga",1,0,1,1,0,"1863-11-25","1863-11-25"
1,13,"May 5, 1864","Wilderness",0,1,1,1,0,"1864-5-5","1864-5-5"
1,14,"May 8-9, 1864","Spotsylvania Court House",0,1,1,1,0,"1864-5-8","1864-5-9"
1,15,"June 3, 1864","Cold Harbor Assault",0,0,1,1,0,"1864-6-3","1864-6-3"
1,16,"July 12, 1864","Early's Retreat",1,0,0,0,1,"1864-7-12","1864-7-12"
1,17,"August 5, 1864","Mobile Bay",1,0,1,0,0,"1864-8-5","1864-8-5"
1,18,"September 2, 1864","Atlanta falls",1,0,1,1,0,"1864-9-2","1864-9-2"
1,19,"Nov 16-Dec 10, 1864","Sherman's March",1,0,1,0,0,"1864-11-16","1864-12-10"
1,20,"December 15-16, 1864","Hood's Army destroyed",1,0,1,0,0,"1864-12-15","1864-12-16"
1,21,"December 24, 1864","Savannah falls",1,0,1,1,0,"1864-12-24","1864-12-24"
1,22,"March 13, 1865","Johnston surrenders",1,0,0,1,0,"1865-3-13","1865-3-13"
1,23,"April 2, 1865","Richmond falls",1,0,1,0,0,"1865-4-2","1865-4-2"
0,1,"September 23, 1862","Emancipation Proclamation",,0,1,0,0,"1862-9-23","1862-9-23"
0,2,"January 8, 1863","Increase of Greenbacks by 300 mill",,0,1,0,0,"1863-1-8","1863-1-8"
0,3,"Late October 1864","Re-election of Lincoln certain",,0,0,1,0,"1864-10-15","1864-11-1"
0,4,"February 25, 1863","Passage of National Banking Act",1,0,0,0,0,"1863-2-25","1863-2-25"
