"date","price","hard_to_read"
"1862-01-01",1.2,0
"1862-01-10",1.22,0
"1862-01-20",1.25,0
"1862-02-01",1.25,1
"1862-02-10",1.28,1
"1862-02-20",1.35,0
"1862-03-01",1.4,1
"1862-03-10",1.5,0
"1862-03-20",1.6,1
"1862-04-01",1.65,1
"1862-04-10",1.7,0
"1862-04-20",1.7,0
"1862-05-01",1.7,0
"1862-05-10",1.8,0
"1862-05-20",1.9,0
"1862-06-01",1.9,0
"1862-06-10",1.9,1
"1862-06-20",1.8,0
"1862-07-01",1.9,1
"1862-07-10",1.9,1
"1862-07-20",2,0
"1862-08-01",2,0
"1862-08-10",2,0
"1862-08-20",2,0
"1862-09-01",2.25,0
"1862-09-10",2.25,0
"1862-09-20",2.5,0
"1862-10-01",2.5,0
"1862-10-10",2.75,0
"1862-10-20",2.75,0
"1862-11-01",3,0
"1862-11-10",3,0
"1862-11-20",3,0
"1862-12-01",3,0
"1862-12-10",3,0
"1862-12-20",3,0
"1863-01-01",3.1,0
"1863-01-10",3.2,0
"1863-01-20",3.2,0
"1863-02-01",3,0
"1863-02-10",3,0
"1863-02-20",3.1,0
"1863-03-01",3.5,1
"1863-03-10",3.85,1
"1863-03-20",4,0
"1863-04-01",4,0
"1863-04-10",4.1,1
"1863-04-20",6,1
"1863-05-01",6.15,1
"1863-05-10",6,1
"1863-05-20",6,1
"1863-06-01",6.25,0
"1863-06-10",6.25,0
"1863-06-20",6.4,1
"1863-07-01",7,0
"1863-07-10",8,0
"1863-07-20",9,1
"1863-08-01",10,0
"1863-08-10",12,0
"1863-08-20",18,0
"1863-09-01",14,1
"1863-09-10",15,0
"1863-09-20",12,0
"1863-10-01",10,0
"1863-10-10",11,1
"1863-10-20",11,1
"1863-11-01",12,0
"1863-11-10",13,0
"1863-12-01",17.5,1
"1863-12-10",16,1
"1863-12-20",17,0
"1864-01-01",18,0
"1864-01-10",18,0
"1864-01-20",18,0
"1864-02-01",19,1
"1864-02-10",20,0
"1864-02-20",22,0
"1864-03-01",20,0
"1864-03-10",20,0
"1864-03-20",20,0
"1864-04-01",20,1
"1864-04-10",19,1
"1864-04-20",18,1
"1864-05-01",19,1
"1864-05-10",20,0
"1864-05-20",20,0
"1864-06-01",18,0
"1864-06-10",17,0
"1864-06-20",17,0
"1864-07-01",17,0
"1864-07-10",17,0
"1864-08-01",20,1
"1864-08-10",32,1
"1864-08-20",32,0
"1864-09-01",30,0
"1864-09-10",30,0
"1864-09-20",30,0
"1864-10-01",25,0
"1864-10-10",25,0
"1864-10-20",25,1
"1864-11-01",25,0
"1864-11-10",25,0
"1864-11-20",22,0
"1864-12-01",27,0
"1864-12-10",27.5,0
"1864-12-20",28,0
"1865-01-01",34,0
"1865-01-10",40,0
"1865-01-20",35,0
"1865-02-01",30,1
"1865-02-10",45,0
"1865-02-20",45,1
"1865-03-01",47,0
"1865-03-10",50,0
"1865-03-20",50,0
"1865-04-01",50,1
"1865-04-10",55,1
