dt,price
1862-01-01,1.03
1862-02-01,1.03
1862-03-01,1.01
1862-04-01,1.01
1862-05-01,1.03
1862-06-01,1.06
1862-07-01,1.15
1862-08-01,1.14
1862-09-01,1.18
1862-10-01,1.29
1862-11-01,1.31
1862-12-01,1.31
1863-01-01,1.45
1863-02-01,1.61
1863-03-01,1.54
1863-04-01,1.51
1863-05-01,1.49
1863-06-01,1.45
1863-07-01,1.30
1863-08-01,1.25
1863-09-01,1.34
1863-10-01,1.47
1863-11-01,1.48
1863-12-01,1.51
1864-01-01,1.55
1864-02-01,1.55
1864-03-01,1.63
1864-04-01,1.74
1864-05-01,1.79
1864-06-01,2.06
1864-07-01,2.59
1864-08-01,2.59
1864-09-01,2.25
1864-10-01,2.08
1864-11-01,2.33
1864-12-01,2.32
1865-01-01,2.15
1865-02-01,2.06
1865-03-01,1.79
1865-04-01,1.46
