dt	yield_greenback_1yr	gold_price_change	yield1040_10yr	yield1040_1879	yield1040_40yr	yield_sixes1881
1865-1-7	9.49	-4.57	16.85	14.38	11.72	14.23
1865-1-14	8.13	-5.31	16.15	13.80	11.22	13.48
1865-1-21	8.66	-3.79	14.79	12.69	10.31	12.50
1865-1-28	8.13	-5.30	16.15	13.80	11.21	13.59
1865-2-4	8.27	-4.90	15.80	13.50	10.96	13.38
1865-2-11	7.32	-5.40	15.27	13.07	10.60	12.98
1865-2-18	7.32	-5.40	15.27	13.07	10.59	12.89
1865-2-25	7.72	-4.73	14.89	12.75	10.34	12.60
1865-3-1	7.59	-4.90	14.96	12.80	10.37	12.71
1865-3-8	8.00	-4.42	14.84	12.70	10.28	12.51
1865-3-15	7.59	-3.42	12.85	11.20	9.21	11.15
1865-3-22	9.22	-1.34	12.16	10.63	8.78	10.43
1865-3-29	9.22	-1.01	11.72	10.28	8.52	10.07
1865-4-5	8.13	-1.77	11.37	9.99	8.30	9.68
1865-4-12	7.32	-2.19	10.89	9.61	8.02	9.36
1865-4-26	6.79	-2.53	10.68	9.44	7.90	9.46
1865-5-10	6.52	-1.69	9.23	8.29	7.10	8.11
1865-5-17	7.04	-1.19	9.23	8.29	7.09	8.04
1865-5-24	6.92	-1.53	9.52	8.51	7.24	8.22
1865-5-31	6.79	-2.03	10.03	8.91	7.52	
1865-6-14	6.92	-2.15	10.36	9.16	7.69	9.04
1865-6-28	6.13	-2.69	10.07	8.94	7.53	8.82
1865-7-5	6.13	-2.72	10.20	8.97	7.50	8.86
1865-7-12	6.13	-2.86	10.39	9.12	7.59	8.91
1865-7-19	6.13	-3.07	10.69	9.34	7.74	9.00
1865-7-26	8.13	-1.25	10.82	9.45	7.81	9.13
1865-8-5	8.53	-0.89	10.84	9.46	7.81	9.16
1865-8-12	8.39	-0.92	10.72	9.36	7.74	9.11
1865-8-19	7.59	-1.78	10.85	9.45	7.81	9.33
1865-8-26	7.86	-1.53	10.86	9.46	7.81	9.30
1865-9-2	7.86	-2.00	11.19	9.68	7.94	9.29
1865-9-9	7.18	-2.34	11.03	9.64	7.97	9.28
1865-9-16	7.32	-2.15	10.94	9.57	7.92	9.15
1865-9-23	7.32	-2.16	10.97	9.58	7.93	9.20
1865-9-30	7.32	-2.27	11.11	9.69	8.00	9.30
1865-10-7	7.59	-2.22	11.41	9.92	8.16	9.48
1865-10-14	7.86	-1.86	11.27	9.81	8.08	8.36
1865-10-21	8.39	-1.57	11.57	10.04	8.24	9.60
1865-10-28	8.13	-1.85	11.62	10.07	8.26	9.60
1865-11-4	8.39	-1.74	11.81	10.22	8.36	9.75
1865-11-18	8.39	-1.92	12.07	10.41	8.49	9.89
1865-11-25	8.53	-1.88	12.19	10.50	8.55	9.91
1865-12-1	9.08	-1.51	12.41	10.67	8.67	9.96
1865-12-8	8.53	-1.79	12.08	10.41	8.48	9.67
1865-12-15	8.39	-1.78	11.89	10.26	8.37	9.54
1865-12-22	8.53	-1.68	11.93	10.29	8.39	9.68
1865-12-29	7.72	-2.39	11.86	10.23	8.34	9.64
